component_id	size	num_edges	n_species	species_entropy	species_entropy_norm	high_z_frac	max_z	top10_mean_z
1287	7	6	4	1.351784	0.975106	0.000000	-0.005912	-0.289639
1288	7	6	4	1.351784	0.975106	0.000000	0.609294	-0.154785
1289	7	10	3	0.955700	0.869916	0.200000	3.623967	1.008511
1290	7	18	4	1.351784	0.975106	0.000000	0.406798	0.230020
1291	7	8	4	1.351784	0.975106	0.000000	-0.310551	-0.310551
1292	7	10	4	1.351784	0.975106	0.000000	-0.460565	-0.866064
1293	7	12	4	1.351784	0.975106	0.000000	-0.339804	-0.685669
1294	7	10	3	1.078992	0.982141	0.000000	2.985419	0.972529
1295	7	11	4	1.351784	0.975106	0.000000	2.386153	1.660351
1296	7	14	4	1.351784	0.975106	0.000000	0.416184	0.284065
1297	7	8	4	1.351784	0.975106	0.000000	1.378911	0.170954
1298	7	14	4	1.351784	0.975106	0.000000	2.702317	1.246898
1299	7	18	4	1.351784	0.975106	0.000000	1.533914	0.906088
1300	7	12	4	1.351784	0.975106	0.166667	3.547568	0.778733
1301	7	10	4	1.351784	0.975106	0.000000	1.761372	0.407225
1302	7	6	5	1.549826	0.962961	0.000000	0.024753	-0.627830
1303	7	8	4	1.351784	0.975106	0.000000	-0.305941	-0.305941
1304	7	8	4	1.351784	0.975106	0.000000	2.166648	0.560870
1305	7	10	4	1.351784	0.975106	0.000000	0.454996	0.257478
1306	7	10	4	1.351784	0.975106	0.000000	0.264566	-0.134707
1307	7	6	4	1.351784	0.975106	0.000000	-0.276347	-0.811942
1308	7	18	4	1.351784	0.975106	0.888889	6.107744	4.779273
1309	7	10	4	1.351784	0.975106	0.000000	-0.485381	-0.771323
1310	7	12	4	1.351784	0.975106	0.000000	0.219233	-0.150668
1311	7	18	5	1.549826	0.962961	0.555556	12.293832	7.654337
1312	7	10	4	1.351784	0.975106	0.000000	1.526646	1.187454
1313	7	10	4	1.351784	0.975106	0.000000	0.216589	0.216589
1314	7	10	4	1.351784	0.975106	0.000000	-0.756518	-0.782086
1315	7	6	4	1.351784	0.975106	0.000000	-0.550432	-0.777134
1316	7	6	4	1.351784	0.975106	0.000000	-0.411015	-0.592902
1317	7	14	4	1.351784	0.975106	0.000000	0.674491	0.033997
1318	7	9	4	1.351784	0.975106	0.000000	1.922642	1.162214
1319	7	6	4	1.351784	0.975106	0.000000	1.758919	0.428151
1320	7	10	4	1.351784	0.975106	0.000000	-0.036713	-0.385115
1321	7	10	4	1.351784	0.975106	0.000000	1.569849	0.341134
1322	7	12	4	1.351784	0.975106	0.000000	0.988112	0.450916
1323	7	12	4	1.351784	0.975106	0.000000	0.307458	-0.222997
1324	7	10	4	1.351784	0.975106	0.000000	0.978473	0.147962
1325	7	10	2	0.598270	0.863121	1.000000	5.035961	4.718804
1326	7	10	4	1.351784	0.975106	0.200000	4.039010	0.966237
1327	7	12	5	1.549826	0.962961	0.000000	0.004507	-0.336015
1328	7	10	4	1.351784	0.975106	0.000000	0.205555	0.046706
1329	7	9	5	1.549826	0.962961	0.000000	-0.523037	-0.759286
1330	7	10	4	1.351784	0.975106	0.000000	0.688193	0.288365
1331	7	18	4	1.351784	0.975106	0.000000	0.049224	-0.130393
1332	7	12	4	1.351784	0.975106	0.000000	1.394109	0.898371
1333	7	6	4	1.351784	0.975106	0.000000	-0.976109	-0.976109
1334	7	10	4	1.351784	0.975106	0.000000	0.745146	0.219084
1335	7	18	4	1.351784	0.975106	0.000000	0.309236	-0.071047
1336	7	12	4	1.351784	0.975106	0.000000	-0.373259	-0.486700
1337	7	10	4	1.351784	0.975106	0.000000	-0.376361	-0.799095
1338	7	12	4	1.351784	0.975106	0.000000	0.190593	-0.167631
1339	7	15	4	1.351784	0.975106	0.000000	0.109769	-0.122285
1340	7	14	4	1.351784	0.975106	0.000000	0.771485	0.352005
1341	7	14	4	1.351784	0.975106	0.000000	0.356526	0.275483
1342	7	10	4	1.351784	0.975106	0.000000	-0.006016	-0.605025
1343	7	18	4	1.351784	0.975106	0.000000	0.614573	0.240268
1344	7	18	4	1.351784	0.975106	0.000000	1.833654	1.376937
1345	7	12	4	1.351784	0.975106	0.000000	0.939636	0.197191
1346	7	6	5	1.549826	0.962961	0.000000	0.206157	-0.533702
1347	7	18	4	1.351784	0.975106	0.222222	4.457753	3.101931
1348	7	18	4	1.351784	0.975106	0.000000	-0.384945	-0.483507
1349	7	8	4	1.351784	0.975106	0.000000	-0.605722	-0.807712
1350	7	18	4	1.351784	0.975106	0.000000	1.459566	0.715140
1351	7	12	4	1.351784	0.975106	0.000000	1.937568	0.071070
1352	7	16	3	1.078992	0.982141	0.000000	-0.204604	-0.397693
1353	7	18	4	1.351784	0.975106	0.000000	1.542204	0.599522
1354	7	16	4	1.351784	0.975106	0.000000	-0.004507	-0.094545
1355	7	14	4	1.351784	0.975106	0.000000	0.311401	-0.198543
1356	7	16	4	1.351784	0.975106	0.000000	0.832865	0.565360
1357	7	6	4	1.351784	0.975106	0.000000	1.001024	-0.202685
1358	7	18	4	1.351784	0.975106	0.000000	0.409366	-0.227377
1359	7	12	4	1.351784	0.975106	0.083333	3.571244	2.378045
1360	7	10	3	1.078992	0.982141	0.000000	0.000000	-0.270949
1361	7	12	4	1.351784	0.975106	0.000000	0.129944	-0.153354
1362	7	12	5	1.549826	0.962961	0.000000	0.618846	-0.388982
1363	7	14	4	1.351784	0.975106	0.000000	0.308549	-0.052081
1364	7	12	4	1.351784	0.975106	0.000000	0.804925	-0.010478
1365	7	10	3	0.955700	0.869916	0.000000	-0.590777	-0.673691
1366	7	10	4	1.351784	0.975106	0.000000	-0.377232	-0.527368
1367	7	10	4	1.351784	0.975106	0.000000	-0.904043	-0.991396
1368	7	19	5	1.549826	0.962961	0.526316	10.105608	5.696868
1369	7	11	4	1.351784	0.975106	0.000000	-0.515138	-0.627279
1370	7	6	3	0.955700	0.869916	0.000000	1.014402	-0.150099
1371	7	12	4	1.351784	0.975106	0.000000	1.293450	0.597036
1372	7	8	4	1.351784	0.975106	0.000000	0.967645	0.095268
1373	7	10	2	0.598270	0.863121	0.800000	17.171340	13.820564
1374	6	10	3	1.098612	1.000000	0.000000	1.492135	0.290567
1375	6	6	3	1.098612	1.000000	0.000000	-0.114440	-0.523905
1376	6	8	3	1.098612	1.000000	0.000000	-0.766875	-0.771213
1377	6	8	3	1.098612	1.000000	0.000000	-0.425803	-0.600508
1378	6	10	3	1.098612	1.000000	0.000000	0.038099	-0.287989
1379	6	12	3	1.098612	1.000000	0.000000	0.332173	-0.247480
1380	6	12	3	1.098612	1.000000	0.000000	1.374140	0.955972
1381	6	8	3	1.098612	1.000000	0.000000	0.266180	-0.125940
1382	6	12	3	1.098612	1.000000	0.000000	1.043971	0.611769
1383	6	12	3	1.098612	1.000000	0.000000	1.297522	1.040667
1384	6	12	3	1.098612	1.000000	0.000000	0.617626	-0.048824
1385	6	8	3	1.098612	1.000000	0.000000	-0.403042	-0.578665
1386	6	12	3	1.098612	1.000000	0.000000	1.323264	0.392660
1387	6	8	3	1.098612	1.000000	0.000000	0.251309	-0.186808
1388	6	10	3	1.098612	1.000000	0.000000	-0.188903	-0.382480
1389	6	8	3	1.098612	1.000000	0.000000	0.277758	-0.207251
1390	6	12	3	1.098612	1.000000	0.000000	1.651818	1.079770
1391	6	12	3	1.098612	1.000000	0.000000	0.308539	-0.135610
1392	6	12	3	1.098612	1.000000	0.000000	0.054060	-0.314463
1393	6	8	3	1.098612	1.000000	0.000000	-0.591494	-0.773105
