species_binomial	organism_name	assembly_accession	taxid	species_taxid	assembly_level	version_status	refseq_category	ftp_path	protein_faa_url
Mycobacterium tuberculosis	Mycobacterium tuberculosis H37Rv	GCF_000195955.2	83332	1773	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2/GCF_000195955.2_ASM19595v2_protein.faa.gz
Neisseria meningitidis	Neisseria meningitidis MC58	GCF_000008805.1	122586	487	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1/GCF_000008805.1_ASM880v1_protein.faa.gz
Neisseria meningitidis	Neisseria meningitidis	GCF_022869645.1	487	487	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/869/645/GCF_022869645.1_ASM2286964v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/869/645/GCF_022869645.1_ASM2286964v1/GCF_022869645.1_ASM2286964v1_protein.faa.gz
Nocardia farcinica	Nocardia farcinica IFM 10152	GCF_000009805.1	247156	37329	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/805/GCF_000009805.1_ASM980v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/805/GCF_000009805.1_ASM980v1/GCF_000009805.1_ASM980v1_protein.faa.gz
Nocardia farcinica	Nocardia farcinica	GCF_001182745.1	37329	37329	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/182/745/GCF_001182745.1_NCTC11134	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/182/745/GCF_001182745.1_NCTC11134/GCF_001182745.1_NCTC11134_protein.faa.gz
Pelagibacter ubique	Candidatus Pelagibacter ubique HTCC1062	GCF_000012345.1	335992	198252	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/345/GCF_000012345.1_ASM1234v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/345/GCF_000012345.1_ASM1234v1/GCF_000012345.1_ASM1234v1_protein.faa.gz
Porphyromonas gingivalis	Porphyromonas gingivalis W83	GCF_000007585.1	242619	837	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/585/GCF_000007585.1_ASM758v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/585/GCF_000007585.1_ASM758v1/GCF_000007585.1_ASM758v1_protein.faa.gz
Porphyromonas gingivalis	Porphyromonas gingivalis ATCC 33277	GCF_000010505.1	431947	837	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/505/GCF_000010505.1_ASM1050v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/505/GCF_000010505.1_ASM1050v1/GCF_000010505.1_ASM1050v1_protein.faa.gz
Prochlorococcus marinus	Prochlorococcus marinus subsp. marinus str. CCMP1375	GCF_000007925.1	167539	1219	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/925/GCF_000007925.1_ASM792v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/925/GCF_000007925.1_ASM792v1/GCF_000007925.1_ASM792v1_protein.faa.gz
Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9515	GCF_000015665.1	167542	1219	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/665/GCF_000015665.1_ASM1566v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/665/GCF_000015665.1_ASM1566v1/GCF_000015665.1_ASM1566v1_protein.faa.gz
Pseudomonas aeruginosa	Pseudomonas aeruginosa PAO1	GCF_000006765.1	208964	287	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1/GCF_000006765.1_ASM676v1_protein.faa.gz
Pseudomonas aeruginosa	Pseudomonas aeruginosa UCBPP-PA14	GCF_000014625.1	208963	287	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/625/GCF_000014625.1_ASM1462v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/625/GCF_000014625.1_ASM1462v1/GCF_000014625.1_ASM1462v1_protein.faa.gz
Pseudomonas putida	Pseudomonas putida KT2440	GCF_000007565.2	160488	303	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2/GCF_000007565.2_ASM756v2_protein.faa.gz
Pseudomonas putida	Pseudomonas putida NBRC 14164	GCF_000412675.1	1211579	303	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/675/GCF_000412675.1_ASM41267v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/675/GCF_000412675.1_ASM41267v1/GCF_000412675.1_ASM41267v1_protein.faa.gz
Rhizobium leguminosarum	Rhizobium leguminosarum bv. trifolii WSM2304	GCF_000021345.1	395492	384	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/345/GCF_000021345.1_ASM2134v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/345/GCF_000021345.1_ASM2134v1/GCF_000021345.1_ASM2134v1_protein.faa.gz
Rhizobium leguminosarum	Rhizobium leguminosarum bv. trifolii WSM1689	GCF_000517605.1	754523	384	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/605/GCF_000517605.1_ASM51760v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/605/GCF_000517605.1_ASM51760v1/GCF_000517605.1_ASM51760v1_protein.faa.gz
Rhodococcus jostii	Rhodococcus jostii RHA1	GCF_000014565.1	101510	132919	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/565/GCF_000014565.1_ASM1456v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/565/GCF_000014565.1_ASM1456v1/GCF_000014565.1_ASM1456v1_protein.faa.gz
Rickettsia rickettsii	Rickettsia rickettsii str. Iowa	GCF_000017445.4	452659	783	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/445/GCF_000017445.4_ASM1744v3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/445/GCF_000017445.4_ASM1744v3/GCF_000017445.4_ASM1744v3_protein.faa.gz
Rickettsia rickettsii	Rickettsia rickettsii str. 'Sheila Smith'	GCF_000018225.1	392021	783	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/225/GCF_000018225.1_ASM1822v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/225/GCF_000018225.1_ASM1822v1/GCF_000018225.1_ASM1822v1_protein.faa.gz
Salmonella enterica	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	GCF_000006945.2	99287	28901	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2/GCF_000006945.2_ASM694v2_protein.faa.gz
Salmonella enterica	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	GCF_000007545.1	209261	28901	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/545/GCF_000007545.1_ASM754v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/545/GCF_000007545.1_ASM754v1/GCF_000007545.1_ASM754v1_protein.faa.gz
Staphylococcus aureus	Staphylococcus aureus RF122	GCF_000009005.1	273036	1280	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/005/GCF_000009005.1_ASM900v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/005/GCF_000009005.1_ASM900v1/GCF_000009005.1_ASM900v1_protein.faa.gz
Staphylococcus aureus	Staphylococcus aureus subsp. aureus NCTC 8325	GCF_000013425.1	93061	1280	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1/GCF_000013425.1_ASM1342v1_protein.faa.gz
Staphylococcus epidermidis	Staphylococcus epidermidis ATCC 12228	GCF_000007645.1	176280	1282	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1/GCF_000007645.1_ASM764v1_protein.faa.gz
